1992,68,Jonathan Lynn
1991,90,Isao Takahata
1991,66,Marc Caro
1990,63,Chris Columbus
1990,60,Francis Ford Coppola
1989,76,Rob Reiner
1989,88,Ron Clements
1988,76,David Zucker
1987,72,John Hughes
1987,68,Richard Donner
1984,82,Joel Coen
1981,68,Mark Rydell
1981,77,George Miller
1979,65,Walter Hill
1979,74,James Frawley
1979,76,Don Siegel
1978,64,Martin Rosen
1978,59,Alan Parker
1977,90,Steven Spielberg
1973,87,Robert Altman
1971,77,Sergio Leone
1970,50,Brian G. Hutton
1967,65,Wolfgang Reitherman
1966,82,Michelangelo Antonioni
1964,96,Richard Lester
1961,76,Blake Edwards
1956,84,George Stevens
1953,85,Fred Zinnemann
1944,78,Alfred Hitchcock
1935,93,Alfred Hitchcock
